date,pe
2006-01-02,15.22
2006-01-03,15.16
2006-01-04,15.29
2006-01-05,15.32
2006-01-06,15.16
2006-01-09,15.26
2006-01-10,15.37
2006-01-11,15.36
2006-01-12,15.4
2006-01-13,15.37
2006-01-16,15.54
2006-01-17,15.55
2006-01-18,15.53
2006-01-19,15.61
2006-01-20,15.59
2006-01-23,15.57
2006-01-24,15.67
2006-01-25,15.61
2006-01-26,15.74
2006-01-27,15.7
2006-01-30,15.76
2006-01-31,15.75
2006-02-01,15.88
2006-02-02,15.82
2006-02-03,15.82
2006-02-06,15.89
2006-02-07,15.96
2006-02-08,15.97
2006-02-09,15.99
2006-02-10,16.01
2006-02-13,16.18
2006-02-14,16.05
2006-02-15,16.06
2006-02-16,16.06
2006-02-17,16.17
2006-02-20,16.26
2006-02-21,16.2
2006-02-22,16.18
2006-02-23,16.2
2006-02-24,16.31
2006-02-27,16.38
2006-02-28,16.39
2006-03-01,16.33
2006-03-02,16.41
2006-03-03,16.42
2006-03-06,16.49
2006-03-07,16.55
2006-03-08,16.53
2006-03-09,16.58
2006-03-10,16.56
2006-03-13,16.63
2006-03-14,16.67
2006-03-15,16.57
2006-03-16,16.66
2006-03-17,16.67
2006-03-20,16.72
2006-03-21,16.76
2006-03-22,16.89
2006-03-23,16.77
2006-03-24,16.9
2006-03-27,16.8
2006-03-28,16.9
2006-03-29,16.95
2006-03-30,16.99
2006-03-31,17.02
2006-04-03,17.07
2006-04-04,17.01
2006-04-05,17.02
2006-04-06,17.11
2006-04-07,17.05
2006-04-10,17.02
2006-04-11,17.04
2006-04-12,17.07
2006-04-13,17.16
2006-04-14,17.15
2006-04-17,17.22
2006-04-18,17.16
2006-04-19,17.21
2006-04-20,17.25
2006-04-21,17.2
2006-04-24,17.28
2006-04-25,17.22
2006-04-26,17.25
2006-04-27,17.26
2006-04-28,17.22
2006-05-01,17.36
2006-05-02,17.31
2006-05-03,17.35
2006-05-04,17.39
2006-05-05,17.4
2006-05-08,17.45
2006-05-09,17.41
2006-05-10,17.4
2006-05-11,17.43
2006-05-12,17.35
2006-05-15,17.4
2006-05-16,17.42
2006-05-17,17.45
2006-05-18,17.54
2006-05-19,17.47
2006-05-22,17.54
2006-05-23,17.65
2006-05-24,17.56
2006-05-25,17.64
2006-05-26,17.55
2006-05-29,17.63
